date;woj;newc;newd;totalc;totald
2020-11-16;dolnośląskie;1784;8;51491;715
2020-11-16;kujawsko-pomorskie;896;3;42524;385
2020-11-16;lubelskie;1163;19;37882;615
2020-11-16;lubuskie;577;1;15400;196
2020-11-16;mazowieckie;2436;19;88503;1376
2020-11-16;małopolskie;1295;5;79281;1232
2020-11-16;opolskie;557;4;21110;420
2020-11-16;podkarpackie;842;12;42227;763
2020-11-16;podlaskie;487;5;19128;285
2020-11-16;pomorskie;1037;2;40182;525
2020-11-16;warmińsko-mazurskie;1040;3;20391;238
2020-11-16;wielkopolskie;2400;15;75285;1014
2020-11-16;zachodniopomorskie;1110;14;24520;232
2020-11-16;łódzkie;1083;8;50799;605
2020-11-16;śląskie;3322;21;102326;1502
2020-11-16;świętokrzyskie;787;4;22739;388
