2020-11-16;zachodniopomorskie;T;244326
2020-11-16;wielkopolskie;T;569263
2020-11-16;lubuskie;T;62233
2020-11-16;łódzkie;T;384373
2020-11-16;dolnoślaskie;T;427333
2020-11-16;opolskie;T;55175
2020-11-16;śląskie;T;773957
2020-11-16;małopolskie;T;443680
2020-11-16;pomorskie;T;468721
2020-11-16;warmińsko-mazurskie;T;140115
2020-11-16;podlaskie;T;145672
2020-11-16;kujawsko-pomorskie;T;315215
2020-11-16;mazowieckie;T;1147865
2020-11-16;lubelskie;T;225055
2020-11-16;podkarpackie;T;105895
2020-11-16;świętokrzyskie;T;138369
